id,type,nr,date,url
180,wintibrief,170,2025-12-31,https://mailchi.mp/wnti/die-grbsten-ausrutscher-der-wnti-redaktion-2025
181,wintibrief,171,2026-01-05,https://mailchi.mp/wnti/ein-nchterner-blick-auf-den-alkoholkonsum
182,wintibrief,172,2026-01-06,https://mailchi.mp/wnti/slmcpzlfsq
183,wintibrief,173,2026-01-07,https://mailchi.mp/wnti/lange-unterhosen-und-rote-nasen-winti-friert
184,wintibrief,174,2026-01-08,https://mailchi.mp/wnti/neue-bibliothek-in-alter-scheune
185,wintibrief,175,2026-01-09,https://mailchi.mp/wnti/winti-denkt-an-crans-montana
186,wintibrief,176,2026-01-12,https://mailchi.mp/wnti/hhe-ist-kopfsache
187,wintibrief,177,2026-01-13,https://mailchi.mp/wnti/wieviel-verdient-eine-stadtrtin-widxom72tw
188,wintibrief,178,2026-01-14,https://mailchi.mp/wnti/wie-geht-es-eigentlich-der-stadtbibliothek
189,wintibrief,179,2026-01-15,https://mailchi.mp/wnti/note-5-fr-den-stadtrat-aber-manchmal-hat-er-die-prfung-zu-spt-abgegeben-e7zv12w7dg
190,wintibrief,180,2026-01-16,https://mailchi.mp/wnti/patrick-rahmen-jeder-einzelne-muss-an-seine-grenzen-gehen-zgxdsxgtwa
191,wintibrief,181,2026-01-19,https://mailchi.mp/wnti/bunte-umzge-grosse-baustellen
192,parlamentsbrief,10,2026-01-20,https://mailchi.mp/wnti/parlamentsbrief-bauern-wollen-referendum-parlamentsmitglieder-eine-vertretung-1ja714zsh4
193,wintibrief,182,2026-01-20,https://mailchi.mp/wnti/ausstellungen-zu-rechter-gewalt-aufwachsen-im-krieg-uhren-und-staatenlosen
194,wintibrief,183,2026-01-21,https://mailchi.mp/wnti/steppschuhe-gegen-sneakers-gegen-high-heels-gegen-socken
195,wintibrief,184,2026-01-22,https://mailchi.mp/wnti/ich-bin-in-der-sache-hart-spiele-aber-nicht-auf-den-menschen
196,wintibrief,185,2026-01-23,https://mailchi.mp/wnti/franziska-kramer-schwob-meine-chancen-sind-intakt
197,wintibrief,186,2026-01-26,https://mailchi.mp/wnti/von-der-spten-adhs-diagnose-zum-treffpunkt-fr-andere
198,wintibrief,187,2026-01-27,https://mailchi.mp/wnti/wieso-soll-die-stadt-immobilien-kaufen-kaspar-bopp-dle6hbbzmx
199,wintibrief,188,2026-01-28,https://mailchi.mp/wnti/die-strkste-frau-von-winti
200,wintibrief,189,2026-01-29,https://mailchi.mp/wnti/wer-nid-seit-isch-gschiid-wer-nd-seit-isch-bld
201,wintibrief,190,2026-01-30,https://mailchi.mp/wnti/mnnlich-alt-und-vom-staat-angestellt-t1hiyrcgue
202,wintibrief,191,2026-02-02,https://mailchi.mp/wnti/der-jet-club-erffnet-im-zentrum-tss
203,wintibrief,192,2026-02-03,https://mailchi.mp/wnti/warum-immer-mehr-tiere-im-tierheim-rosenberg-landen
204,wintibrief,193,2026-02-04,https://mailchi.mp/wnti/das-mnzkabinett-muss-abspecken
